date,exposure_status-etat_verification,count-nombre
2021-03-31,exposed-expose,<20
2021-03-31,monitoring-surveillance,<20
2021-04-30,exposed-expose,25085
2021-04-30,monitoring-surveillance,6113
2021-05-31,exposed-expose,22156
2021-05-31,monitoring-surveillance,4108
2021-06-30,exposed-expose,3247
2021-06-30,monitoring-surveillance,653
2021-07-31,exposed-expose,1006
2021-07-31,monitoring-surveillance,191
2021-08-31,exposed-expose,2936
2021-08-31,monitoring-surveillance,1822
2021-09-30,exposed-expose,6479
2021-09-30,monitoring-surveillance,2131
2021-10-31,exposed-expose,5223
2021-10-31,monitoring-surveillance,1800
2021-11-30,exposed-expose,8548
2021-11-30,monitoring-surveillance,2620
2021-12-31,exposed-expose,122267
2021-12-31,monitoring-surveillance,41339
2022-01-31,exposed-expose,78602
2022-01-31,monitoring-surveillance,23062
2022-02-28,exposed-expose,12014
2022-02-28,monitoring-surveillance,3501
